Enterprise_ID,Enterprise_Name,TAT_Score,Loan_Amount,Loan_Status,Risk_Category,Last_Assessed_Date,Credit_Score,Sector,Remarks
ENT0001,Ramirez and Sons Pvt Ltd,3.38,3476064.77,Closed,Low,2023-08-22,442,Services,Light soldier produce ever cup page course.
ENT0002,"Clark, Harris and Miller Pvt Ltd",3.55,89325777.2,Active,Low,2025-05-20,332,Manufacturing,Picture set plan party husband fall.
ENT0003,Myers Ltd Pvt Ltd,0.92,24033428.45,Defaulted,Low,2025-01-17,503,Logistics,Sort pressure player voice miss.
ENT0004,Shaw Group Pvt Ltd,1.49,59337302.7,Active,Medium,2025-04-24,463,Logistics,Much return hard trip through military.
ENT0005,Morris-Cooper Pvt Ltd,2.03,16392470.48,Closed,Low,2024-08-10,689,Services,Situation whom factor around movie pick window.
ENT0006,"Yoder, Perry and Tucker Pvt Ltd",2.12,35051616.53,Closed,Medium,2023-12-04,770,Services,Mention among do through scene camera tough.
ENT0007,Bennett-Perez Pvt Ltd,4.88,38474903.34,Defaulted,Low,2024-11-26,670,Finance,Grow give get support performance.
ENT0008,Young-Reed Pvt Ltd,3.67,5536613.98,Active,Medium,2025-03-10,381,Finance,Total glass cover arm agency.
ENT0009,Webster-Abbott Pvt Ltd,4.4,38632496.28,Closed,Medium,2024-12-31,673,Retail,Themselves hold play series money.
ENT0010,Harrell-Powell Pvt Ltd,2.17,21741196.05,Closed,Medium,2024-08-12,373,Retail,Police where fly magazine industry method.
ENT0011,Brown Ltd Pvt Ltd,2.9,25236281.59,Closed,Low,2024-05-07,870,Finance,Congress step note low apply born ready.
ENT0012,Simon Group Pvt Ltd,3.58,84442340.1,Active,Low,2023-08-25,332,Technology,Citizen whose affect politics.
ENT0013,Bartlett-Warren Pvt Ltd,2.31,7552671.92,Defaulted,Medium,2024-02-13,622,Finance,When ball authority dream type growth certain direction.
ENT0014,"Mitchell, Padilla and Trevino Pvt Ltd",3.45,40167558.21,Defaulted,Low,2024-12-03,571,Retail,Hour hope machine best forget argue.
ENT0015,Myers-Johnson Pvt Ltd,1.61,56575445.28,Closed,Medium,2023-07-20,738,Logistics,Outside indeed young reach.
ENT0016,Gutierrez-Miller Pvt Ltd,2.13,99735252.02,Active,Low,2024-02-03,393,Manufacturing,Republican wish ready collection hard talk property.
ENT0017,Hunter-Carter Pvt Ltd,4.37,16131290.62,Active,Medium,2024-09-18,732,Services,Find attack avoid fall.
ENT0018,Braun PLC Pvt Ltd,2.23,59992954.41,Closed,Low,2024-05-04,866,Manufacturing,Attorney already military.
ENT0019,Melendez-Harris Pvt Ltd,3.56,12340622.56,Defaulted,Medium,2024-10-19,648,Services,Information use film return artist agree detail.
ENT0020,"Cortez, Bell and Thomas Pvt Ltd",1.82,16657617.68,Active,High,2023-05-29,569,Retail,Situation trouble TV herself guy.
ENT0021,"Sims, Owens and Thompson Pvt Ltd",2.78,11534671.46,Defaulted,Low,2023-07-06,819,Finance,Color mind role sure operation need practice prove.
ENT0022,"Stewart, Barr and Daniel Pvt Ltd",1.19,76488569.21,Defaulted,High,2024-11-28,843,Manufacturing,Discuss degree five close western very everybody.
