Enterprise_ID,Enterprise_Name,Sector,Annual_Revenue,Employees,Credit_Score,Loan_Amount,Loan_Purpose,Loan_Tenure,Interest_Rate,Prev_Loan_Default,Collateral_Value,Application_Date,Loan_Approved
1192,Patel-Young,Finance,30396082,158,849,4280266,Research & Development,48,11.57,No,4185554,2025-05-20,Yes
1397,"Dennis, Davis and Hodge",IT Services,19907101,215,774,1806826,Real Estate,12,13.94,No,4265250,2025-05-20,Yes
1575,"Henry, Shaw and Brown",Education,33737614,201,594,2049902,Expansion,60,7.84,No,4411707,2025-05-20,No
1756,Jackson Group,Agriculture,49641341,222,791,2986569,Equipment Purchase,48,11.34,No,3546610,2025-05-19,Yes
1554,Sanford-Baxter,Manufacturing,25192961,126,487,1201267,Expansion,36,9.34,No,2979386,2025-05-19,No
1123,Ryan Ltd,Retail,1076218,80,401,3935598,Debt Consolidation,60,13.86,No,3351112,2025-05-18,No
1383,King PLC,Retail,7714301,76,417,4122261,Inventory Purchase,60,10.48,No,3950838,2025-05-17,No
1048,"Sherman, Alvarez and Flores",Healthcare,14757649,313,793,231184,Expansion,24,14.44,No,3362750,2025-05-16,Yes
1446,Thomas-Sutton,IT Services,21521013,325,715,2246674,Research & Development,60,11.2,No,1725259,2025-05-15,Yes
1095,"Long, Alvarez and Brown",Finance,47962034,382,784,843088,Expansion,36,14.83,No,4848064,2025-05-15,Yes
1232,Thomas-Washington,Manufacturing,43872208,51,731,3468270,Expansion,36,9.74,No,1827310,2025-05-15,No
1995,Valdez-Branch,Finance,20397196,93,474,4026690,Equipment Purchase,24,10.73,No,1152020,2025-05-14,No
1394,"Dennis, Rivera and Ochoa",Hospitality,36414014,139,718,1962205,Expansion,24,10.74,No,890268,2025-05-14,No
1379,Salas LLC,Hospitality,33339834,499,362,780667,Inventory Purchase,48,11.23,Yes,1960155,2025-05-13,No
1491,Gonzalez-Erickson,Manufacturing,21057988,110,515,4231146,Inventory Purchase,12,11.7,No,4912944,2025-05-13,No
1465,Cantu-Garcia,Hospitality,25586222,276,403,3895830,Working Capital,12,7.62,No,1912015,2025-05-13,No
1910,Carlson-Hancock,Retail,18715057,122,339,397584,Debt Consolidation,12,10.94,No,605134,2025-05-13,No
1672,"Thornton, Robinson and Oneal",Manufacturing,32247234,226,302,1883611,Debt Consolidation,36,11.65,No,1208866,2025-05-12,No
1891,Palmer-James,IT Services,19720027,375,453,4561213,Marketing,48,12.71,No,500415,2025-05-10,No
1287,Clark-Ramirez,IT Services,7867218,462,590,3991151,Real Estate,36,12.41,No,2829060,2025-05-10,No
1550,Freeman PLC,Construction,29500556,414,713,2888107,Real Estate,24,9.48,No,2252661,2025-05-08,Yes
1843,"Thomas, Walker and Huffman",Finance,33386345,390,847,484370,Real Estate,12,12.33,No,404182,2025-05-08,Yes
1473,"Hall, Baker and King",Hospitality,32500922,92,390,1527989,Marketing,24,11.4,No,4655677,2025-05-08,No
1975,Pineda PLC,Healthcare,20921696,79,395,4414896,Working Capital,60,7.42,No,2841004,2025-05-07,No
1189,White Group,Agriculture,44946719,235,706,1514718,Research & Development,60,14.73,No,4485728,2025-05-07,Yes
1403,Harrison-Ortega,Finance,39963185,459,503,2370463,Equipment Purchase,48,9.06,No,2111892,2025-05-06,No
1412,"Jensen, Thompson and Gregory",Education,5317048,119,454,2649565,Expansion,24,12.89,Yes,1008395,2025-05-06,No
1538,Johnson and Sons,Hospitality,23098345,222,487,2499146,Inventory Purchase,12,8.69,No,2092361,2025-05-02,No
1039,"Pruitt, Watson and Rowe",IT Services,43827417,471,789,2109606,Real Estate,24,13.01,Yes,3943623,2025-05-02,No
1475,"Snyder, Blankenship and Anderson",IT Services,35045468,108,566,1300532,Marketing,36,7.82,No,1593912,2025-05-01,No
1216,Patel-Lynch,Manufacturing,47365848,332,585,182409,Real Estate,12,8.82,No,2815013,2025-05-01,No
1066,Wolfe PLC,Hospitality,30168464,441,831,1924964,Real Estate,48,8.75,No,3086773,2025-04-30,Yes
1737,Washington-Jones,Agriculture,39400142,369,456,1916760,Debt Consolidation,12,9.87,No,2475358,2025-04-30,No
1972,"Allen, Davis and Patterson",Manufacturing,17040922,201,387,4225903,Marketing,12,14.91,Yes,2292019,2025-04-30,No
1075,Daniel and Sons,Transportation,10427504,116,357,583455,Inventory Purchase,12,9.4,No,1561710,2025-04-28,No
1033,"Brown, Pierce and Zavala",Construction,43411316,111,670,4322102,Equipment Purchase,36,11.31,No,2467714,2025-04-27,No
1898,Myers-Velazquez,Transportation,2805808,323,520,3323253,Real Estate,48,8.29,No,4823147,2025-04-26,No
1188,Cummings-Harper,Hospitality,13800127,117,518,989855,Inventory Purchase,24,9.43,No,2169228,2025-04-26,No
1305,Ellis Inc,Retail,24388869,477,793,1090121,Expansion,24,9.32,No,124723,2025-04-26,No
1312,"Clark, Ortiz and Willis",IT Services,29172140,124,755,2056874,Inventory Purchase,12,10.13,No,2239568,2025-04-26,Yes
1958,Scott-Monroe,Finance,23015777,254,742,4281726,Equipment Purchase,48,14.25,No,411911,2025-04-24,No
1899,Figueroa Group,Agriculture,10709175,495,667,2465885,Equipment Purchase,48,12.6,No,135350,2025-04-23,No
1081,"Weber, Garcia and Davis",Finance,30122426,290,396,1724777,Real Estate,36,11.67,No,4112316,2025-04-22,No
1167,Anderson Ltd,Hospitality,21153729,302,346,2188062,Equipment Purchase,36,14.42,No,2706040,2025-04-22,No
1466,Wilson-Valencia,Hospitality,16527000,187,513,1055205,Marketing,60,12.37,No,2500503,2025-04-20,No
1812,Mcgee LLC,Education,16540627,75,631,1440683,Working Capital,36,9.95,No,3208562,2025-04-20,Yes
1604,Mays and Sons,Retail,36490172,352,321,1047272,Research & Development,36,12.49,No,4258981,2025-04-20,No
1273,Rojas-Ballard,Transportation,41539152,181,660,3238102,Research & Development,48,10.93,No,3999842,2025-04-20,Yes
1470,"Watson, Smith and Ferrell",Education,19498826,472,816,3130555,Expansion,12,13.71,No,2055464,2025-04-20,No
1452,"Johns, Pitts and Nelson",Retail,46238137,263,599,284514,Equipment Purchase,24,12.46,No,3221553,2025-04-20,No
1789,Davis-Dixon,Finance,37458065,195,689,598512,Marketing,12,10.12,No,4572781,2025-04-19,Yes
1164,Brown LLC,Healthcare,22232430,58,782,3658818,Marketing,36,14.15,No,671531,2025-04-19,No
1208,Jenkins Inc,Retail,12878474,263,362,3184562,Marketing,36,11.31,No,2000408,2025-04-19,No
1801,Rodriguez and Sons,Manufacturing,42654364,329,534,1408014,Marketing,36,9.71,No,4112118,2025-04-18,No
1175,"Hawkins, Neal and Beck",Transportation,23214365,211,442,3900986,Research & Development,24,9.26,No,2332373,2025-04-17,No
1141,"Jones, Montoya and Allen",Hospitality,43842925,371,749,979459,Equipment Purchase,36,14.87,No,4880165,2025-04-17,Yes
1626,Perez and Sons,Construction,7440010,142,436,2397905,Equipment Purchase,36,12.77,No,3412079,2025-04-16,No
1099,"Richards, Steele and Lawson",Education,15013403,248,509,1194409,Equipment Purchase,12,12.74,No,4291244,2025-04-15,No
1032,Jackson Group,Retail,34872840,437,604,225355,Equipment Purchase,24,7.69,No,534427,2025-04-14,Yes
1003,"Ellis, Jones and Johnson",Transportation,32549031,463,641,4607167,Expansion,36,11.99,No,4226852,2025-04-12,Yes
1140,Jennings Inc,Healthcare,41576287,182,694,3607447,Real Estate,48,12.68,No,3162734,2025-04-12,Yes
1515,Barrera-Gross,Retail,3366610,238,425,719003,Real Estate,24,8.47,No,103010,2025-04-10,No
1509,"Mckay, Moran and Khan",Healthcare,27376033,16,586,4143763,Real Estate,24,8.01,No,2757133,2025-04-10,No
1249,Nguyen LLC,Healthcare,40787171,205,642,953605,Marketing,24,12.74,No,4576226,2025-04-08,Yes
1325,"Miller, Lester and Bruce",IT Services,43607220,463,730,2428476,Equipment Purchase,48,12.5,No,2182942,2025-04-08,Yes
1130,Orr LLC,Finance,30822180,449,681,380833,Research & Development,36,8.82,No,4984164,2025-04-08,Yes
1904,Hernandez-Sims,IT Services,39209230,28,774,3024537,Equipment Purchase,24,14.49,No,742019,2025-04-07,No
1041,Kerr and Sons,Education,22012258,459,588,4699409,Real Estate,60,12.41,No,2139884,2025-04-06,No
1205,"Ramirez, Duarte and Turner",Retail,16985249,87,583,953329,Working Capital,12,12.87,Yes,2671021,2025-04-05,No
1303,Taylor-Murphy,Manufacturing,23992356,405,340,1620373,Real Estate,60,11.36,Yes,1468180,2025-04-04,No
1921,"Murray, Schmidt and Smith",Retail,29113586,468,578,3110087,Working Capital,48,10.89,Yes,2075216,2025-04-03,No
1331,Hardy PLC,Agriculture,30061846,170,412,170463,Marketing,12,9.64,No,2287699,2025-04-02,No
1479,"Stone, Hill and Jacobs",Construction,18920169,199,786,3100109,Inventory Purchase,12,7.39,No,676776,2025-04-02,No
1743,"Villarreal, Smith and Klein",Education,2443717,212,770,719696,Debt Consolidation,24,13.41,No,724502,2025-04-01,Yes
1618,Garner LLC,IT Services,35366893,52,395,3673258,Real Estate,60,8.4,No,873837,2025-04-01,No
1818,"Cox, Erickson and Rich",Transportation,21808635,95,453,553222,Equipment Purchase,60,13.17,No,4842030,2025-03-31,No
1222,Dyer Ltd,Education,4751198,250,633,2027716,Inventory Purchase,48,9.97,No,3851082,2025-03-31,Yes
1828,Weeks Inc,Transportation,44279777,427,440,2735122,Marketing,36,13.8,No,1153248,2025-03-31,No
1422,"Riley, Miller and Yang",Manufacturing,40509310,34,421,2143321,Research & Development,48,12.8,No,431856,2025-03-30,No
1449,Berg-Gordon,Manufacturing,12318792,169,640,4191685,Real Estate,12,9.88,No,599391,2025-03-30,No
1247,Bullock-Miller,Manufacturing,39457098,434,307,2565912,Expansion,60,13.94,No,2076393,2025-03-30,No
1610,Roberts and Sons,Transportation,48718021,437,765,4325389,Debt Consolidation,48,10.06,No,1894348,2025-03-29,No
1966,Wiggins-Jennings,Healthcare,37387984,329,410,1036320,Expansion,12,10.01,No,3325654,2025-03-28,No
1902,Austin Ltd,Manufacturing,32049883,365,793,2301340,Debt Consolidation,12,11.05,Yes,995032,2025-03-27,No
1954,Garcia and Sons,Hospitality,38655044,207,609,746012,Debt Consolidation,48,14.0,No,3780536,2025-03-26,Yes
1662,"Wilkins, Parker and Vang",Agriculture,48123764,472,330,4080053,Research & Development,24,14.85,No,1664340,2025-03-26,No
1580,Palmer PLC,Manufacturing,9067987,138,620,3445026,Inventory Purchase,24,12.15,Yes,3105450,2025-03-25,No
1516,Graham-Sandoval,Hospitality,38734735,95,576,293839,Working Capital,24,7.85,No,957272,2025-03-24,No
1591,"Allen, Clark and Williams",Construction,18375113,286,322,2220711,Research & Development,36,12.03,No,3479985,2025-03-21,No
1199,"Richardson, Wilson and Ball",IT Services,20023125,485,723,4623535,Real Estate,24,14.69,No,1951737,2025-03-21,No
1793,Adams-Munoz,Retail,18994276,373,601,2030440,Working Capital,24,8.91,No,4095721,2025-03-20,Yes
1194,Jordan-Hayes,Manufacturing,32404552,159,800,212935,Working Capital,60,7.05,No,3038088,2025-03-19,Yes
1457,"Monroe, Boyd and Allen",IT Services,36383985,296,579,4883725,Equipment Purchase,12,8.0,No,2903502,2025-03-19,No
1148,Bennett-Price,Education,1611213,286,455,4285224,Real Estate,24,7.17,No,4454003,2025-03-18,No
1463,Henderson and Sons,Hospitality,25440805,139,572,2614399,Expansion,12,10.59,No,780559,2025-03-18,No
1654,Clements Group,Retail,40304715,346,795,931257,Real Estate,36,8.31,No,1627586,2025-03-16,Yes
1393,"Little, Jackson and Bush",Manufacturing,12374857,356,743,1621722,Equipment Purchase,12,11.23,No,2017582,2025-03-16,Yes
1101,"Ross, Jones and Walton",IT Services,40648899,300,753,4204399,Expansion,12,13.38,No,4977611,2025-03-16,Yes
1448,"Marshall, Gill and Simpson",Manufacturing,38735088,399,796,2309853,Expansion,24,14.78,No,2009129,2025-03-15,Yes
1294,Cole-Leonard,Retail,37532022,115,640,2634957,Debt Consolidation,60,13.75,No,846266,2025-03-14,No
1198,"Moran, Garcia and Gonzalez",Healthcare,34877350,428,580,4380650,Real Estate,12,8.29,No,344957,2025-03-14,No
1410,"Castaneda, Harvey and Hamilton",Construction,1397710,279,742,1344360,Expansion,48,12.68,No,1498598,2025-03-14,Yes
1583,Williams PLC,Manufacturing,23922481,57,832,1861369,Equipment Purchase,12,8.33,No,796470,2025-03-13,No
1020,Mills-Wyatt,IT Services,17591661,85,447,1123920,Research & Development,48,14.88,No,3385705,2025-03-13,No
1611,Nelson Inc,Construction,19331726,458,311,2721158,Expansion,36,12.05,No,809848,2025-03-12,No
1145,Rojas-May,Manufacturing,30677043,384,430,3741644,Equipment Purchase,60,9.25,No,1451471,2025-03-11,No
1878,Fisher-Shah,Construction,18819593,385,404,4042863,Debt Consolidation,60,7.79,No,2529129,2025-03-11,No
1896,Zamora PLC,Manufacturing,26258148,85,698,3841104,Real Estate,24,8.02,No,1678661,2025-03-10,No
1070,Mills Inc,Education,45798099,373,513,4778083,Debt Consolidation,12,11.87,No,2025556,2025-03-09,No
1625,"Walker, Bradford and King",Manufacturing,27552476,26,456,1634227,Research & Development,36,12.07,No,1085340,2025-03-09,No
1867,Alexander LLC,Hospitality,26227191,80,415,3027503,Expansion,24,14.83,No,4758415,2025-03-07,No
1556,"Taylor, Walker and Lewis",Healthcare,26654796,205,344,518829,Marketing,12,9.84,No,4803214,2025-03-06,No
1014,Calderon Inc,Retail,28580296,319,832,2670115,Debt Consolidation,48,8.81,No,447693,2025-03-06,No
1572,Holmes Group,Hospitality,43378463,406,410,349265,Inventory Purchase,60,9.43,No,4283384,2025-03-06,No
1713,Johnston LLC,Manufacturing,12779534,222,720,4403677,Debt Consolidation,48,7.16,No,1794919,2025-03-03,No
1263,Miller-Sweeney,Agriculture,6703394,59,431,752416,Expansion,60,9.57,No,1045791,2025-02-28,No
1919,Henson Group,Construction,42055392,260,480,3452214,Debt Consolidation,24,8.91,No,1700882,2025-02-27,No
1025,Frye-Reynolds,Education,41225750,325,441,397675,Equipment Purchase,24,10.4,Yes,4968580,2025-02-26,No
1964,"Nicholson, Rodriguez and Crosby",Finance,9121757,78,804,3955798,Marketing,24,14.55,No,166481,2025-02-26,No
1612,"Wolfe, Brown and Gonzalez",Transportation,27996639,96,589,3251478,Inventory Purchase,24,10.44,No,1459277,2025-02-25,No
1334,"Rivera, Goodman and Lopez",Finance,12457501,47,340,2530992,Expansion,48,9.43,No,1863065,2025-02-25,No
1765,Singleton LLC,Hospitality,17002437,53,638,4380428,Working Capital,60,10.25,No,1726373,2025-02-25,No
1692,"Thomas, Brewer and Mitchell",Agriculture,9025407,297,824,337068,Debt Consolidation,60,10.29,No,1172207,2025-02-25,Yes
1504,"Warren, Jacobson and Phillips",Healthcare,2950013,125,446,2682985,Real Estate,60,11.65,No,2575525,2025-02-24,No
1511,"Sutton, Martinez and Richardson",Retail,22981132,101,779,4617562,Debt Consolidation,24,12.41,No,3136810,2025-02-23,Yes
1021,Stephens-Reed,Construction,7575716,208,771,3911666,Real Estate,48,8.67,No,1394091,2025-02-22,No
1933,Mcclain Group,Agriculture,9535078,408,641,3044236,Equipment Purchase,24,11.41,No,4922587,2025-02-22,Yes
1278,Morgan-Douglas,Retail,20482215,363,582,1171984,Debt Consolidation,48,10.29,No,2641318,2025-02-22,No
